iter	Passed	Remaining
459	793	932
460	795	929
461	796	927
462	797	925
463	799	923
464	800	920
465	801	918
466	802	916
467	804	914
468	806	912
469	807	910
470	808	908
471	810	906
472	811	904
473	812	901
474	814	899
475	815	897
476	816	895
477	817	893
478	819	891
479	820	889
480	822	887
481	823	885
482	825	883
483	826	881
484	827	878
485	829	876
486	830	874
487	831	872
488	832	870
489	834	868
490	836	866
491	837	864
492	838	862
493	840	860
494	842	859
495	843	857
496	845	855
497	847	853
498	849	852
499	851	851
500	852	849
501	854	847
502	855	845
503	857	843
504	858	841
505	859	839
506	860	837
507	862	834
508	863	832
509	864	830
510	866	828
511	867	826
512	868	824
513	870	822
514	871	820
515	872	818
516	874	816
517	875	814
518	876	812
519	878	810
520	879	808
521	881	806
522	882	805
523	883	803
524	885	800
525	886	798
526	887	796
527	889	794
528	890	792
529	892	791
530	893	789
531	895	787
532	896	785
533	898	784
534	899	781
535	901	779
536	902	777
537	903	775
538	904	773
539	905	771
540	907	769
541	908	767
542	910	766
543	911	764
544	913	762
545	914	760
546	916	758
547	917	756
548	918	754
549	920	752
550	921	750
551	922	748
552	924	746
553	925	745
554	927	743
555	928	741
556	929	739
557	931	737
558	932	735
559	933	733
560	934	731
561	936	729
562	937	727
563	938	725
564	940	724
565	941	722
566	943	720
567	944	718
568	945	716
569	947	714
570	948	712
571	949	710
572	950	708
573	952	706
574	953	704
575	955	703
576	957	701
577	958	699
578	959	697
579	962	696
580	963	695
581	965	693
582	966	691
583	967	689
584	984	698
585	985	696
586	987	694
587	988	692
588	990	690
589	991	689
590	993	687
591	994	685
592	996	683
593	997	681
594	998	679
595	1000	678
596	1002	676
597	1004	675
598	1005	673
599	1007	671
600	1009	670
601	1010	668
602	1012	666
603	1013	664
604	1015	662
605	1016	661
606	1018	659
607	1019	657
608	1021	655
609	1022	653
610	1023	651
611	1025	649
612	1026	648
613	1027	646
614	1029	644
615	1030	642
616	1033	641
617	1034	639
618	1036	637
619	1037	635
620	1038	634
621	1040	632
622	1042	630
623	1044	629
624	1047	628
625	1049	626
626	1050	624
627	1051	623
628	1053	621
629	1054	619
630	1055	617
631	1056	615
632	1058	613
633	1059	611
634	1060	609
635	1061	607
636	1063	605
637	1064	604
638	1065	602
639	1066	600
640	1068	598
641	1069	596
642	1070	594
643	1072	592
644	1073	590
645	1074	588
646	1075	586
647	1077	585
648	1078	583
649	1080	581
650	1081	579
651	1082	577
652	1083	576
